TRAP,createdBy,Timestamp,MoundID,Date,Type,AllNotes,Source,DescriptionOfMoundOrLocale,LU_Around,LU_Top,PositionInTheLandscape,Prominence,Latitude,Longitude,Northing,Easting,Accuracy,FacingDirectionForPhoto,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,DamageNotes,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
8247,Tiana Anderson,2018-09-12 09:01:03.758 GMT,8247,2018-09-12,Other,"927,grassland",Survey,trench against the Turkish in cold war,Pasture,Pasture,Lower slope,High,42.04802751,26.95105658,4655109.845,495949.6718,3,West,1,6,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,"Weather),specify in Annotation (Weather),cold war",Post-depositional,NA,4 - minimal,Other,Other,"NA",NA,NA,POINT(495949.671797 4655109.844969)
9657,Mikaila Walker,2018-09-12 09:04:08.592 GMT,9657,2018-09-12,Burial Mound,"ext no 653-672 (all photos for mound - clarify when processing),low due to vegetation",Legacy verification,large mound; limestone layers !ixed with charcoal and darker sediment see photo,Forest,Scrub,Hilltop,Low,42.171627290000004,26.80180935,4668851.1,483630.4983,3,Northeast,8,35,6,40,NA,Bones - Other (charcoal present in wall of largest robber''s trench (possibly dromos)),small to medium animal bones (mammal; 2 ribs + unknown) found in robber''s trench above chamber,Yes,charcoal: contemporary with tomb; bone: modern,files/app/4a0a695b-e8db-4358-a2ca-b5531725376a_image-1536743836914.original.jpg (ext no ),4 - seriously damaged,still some archaeological potential; looting appears unfinished and extended),Looting,animal burrowing; vegetation,3 - impaired,Looting,Last month,"01,rectangle,1.5,3.1,5,manually excavated trench with pick marks;02,rectangle,3,3,2,manually excavated deep trench;03,rectangle,2,2,1,manually excavated trench;04,circle,manually excavated trench;05,circle,manually excavated trench;06,circle,manually excavated trench;07,circle,manually excavated trench;08,circle,manually excavated trench;09,oval,3,0.5,0.5,manually excavated shallow trench (possibly unfinished; large cut trench at potential dromos; probes present atop mound; trench over possible burial chamber; other trenches present)",drill holes present (made in search of chamber),files/app/00236191-3523-415e-b8bd-118f4d763acc_image-1536744012440.original.jpg - files/app/46624122-8580-4530-b38b-bde43f2955ef_image-1536743855917.original.jpg - files/app/7ce8b8ca-5c2d-4b56-9b33-7ceffa9e7d13_image-1536745070938.original.jpg - files/app/beca18f5-43a6-42e0-b2cc-0c26ab4cbfa8_image-1536743941750.original.jpg - files/app/eba6a56a-23d2-419e-af80-fc2a5146da43_image-1536743927669.original.jpg - files/app/fc879f01-3be6-4b91-908b-807f1e085eaf_image-1536743974723.original.jpg,POINT(483630.498254 4668851.099727)
8248,Tiana Anderson,2018-09-12 09:10:29.585 GMT,8248,2018-09-12,Burial Mound,"932-933,grassland",Survey,small mound positioned besides modern dirt road,Pasture,Pasture,Lower slope,Low,42.04669675,26.94923762,4654962.179,495799.0557,3,West,1.6,12,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,dirt road runs over mound),Other,NA,1 - full,Post-depositional,Unknown,"NA",NA,NA,POINT(495799.055748 4654962.179296)
8249,Tiana Anderson,2018-09-12 09:18:23.351 GMT,8249,2018-09-12,Burial Mound,"938-939,grassland",Legacy verification,NA,Pasture,Pasture,Lower slope,Low,42.04661337,26.9488293,4654952.941,495765.2582,3,West,2.5,25,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,,Animal activity,rats and mice,1 - full,Animal activity,Unknown,"NA",NA,NA,POINT(495765.25824 4654952.941454)
8250,Tiana Anderson,2018-09-12 09:30:12.708 GMT,8250,2018-09-12,Other,"940,grassland",Survey,"tank emplacement approx 1.5m deep and 8m long. could possibly be the site of an extinct mound d but now it is simply a depression from tank emplacement

8250=8246",Pasture,Pasture,Lower slope,Low,42.0445463,26.94608139,4654723.575,495537.7046,3,South,1.7,6,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,"military activity ),specify in Annotation (military activity ),70s-80s",Other,NA,5 - none or nearly none,Other,Other,"NA",NA,NA,POINT(495537.704617 4654723.575417)
8251,Tiana Anderson,2018-09-12 09:33:11.275 GMT,8251,2018-09-12,Burial Mound,"941,Height hard to tell due to bushes",Legacy verification,mound completely covered in scrub,Pasture,Scrub,Upper slope,Medium,42.04451327,26.94499905,4654719.965,495448.1284,3,West,2,15,NA,NA,NA,NA,NA,No,NA,NA,0 - No observation,"hard to determineb due to scrub,hard to determineb due to scrub,hard to determineb due to scrub)",Post-depositional,totally covered by scrub,No observation,Not available,Unknown,"NA",NA,NA,POINT(495448.128389 4654719.964938)
8252,Tiana Anderson,2018-09-12 09:42:27.513 GMT,8252,2018-09-12,Other,"military activity),943,grassland,Height hard to tell due to bushes",Survey,similar to 8243. shallower and has large outcrops at the bottom. looks already excavated,Pasture,Pasture,Lower slope,Low,42.04382948,26.94393477,4654644.101,495359.9982,3,West,1.5,6,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,"military),specify in Annotation (excavated)",Other,excavated,5 - none or nearly none,Other,Unknown,"NA",NA,NA,POINT(495359.998198 4654644.100851)
9658,Mikaila Walker,2018-09-12 09:43:57.268 GMT,9658,2018-09-12,Uncertain Feature,"ext no 674-675,curved rectangle",Survey,tank enclosure - noticed en route,Forest,Forest,Hilltop,Low,42.17176157,26.80056883,4668866.247,483528.0722,3,East,1.4,9,1.3,8,9x8x,NA,NA,No,NA,NA,0 - No observation,specify in Annotation),Other,military (trench enclosure),4 - minimal,Other,Unknown,"NA",NA,NA,POINT(483528.072216 4668866.247138)
8253,Tiana Anderson,2018-09-12 09:53:04.187 GMT,8253,2018-09-12,Burial Mound,"944-945,grassland",Legacy verification,mound that would be far more next prominent if it was not covered in many trees,Pasture,Pasture,Lower slope,Low,42.04145728,26.94160317,4654380.846,495166.8534,3,West,2,30,NA,25,NA,NA,NA,No,NA,NA,1 - pristine,specify in Annotation (Natural),Post-depositional,trees growing,1 - full,Other,Unknown,"NA",NA,NA,NA
9659,Mikaila Walker,2018-09-12 10:13:27.834 GMT,9659,2018-09-12,Surface Scatter,ext no 678-679,Survey,"artefact scatter stones, architectural pottery, iron slag
late antiquity/roman/medieval - further investigation required",Annual agriculture,Annual agriculture,Hilltop,High,42.17426051,26.79890786,4669144.033,483391.5394,4,South,0,0,NA,NA,check external GPS for accurate dimensions,NA,NA,Yes,NA,NA,0 - No observation,,Agriculture,NA,2 - good,Agriculture,Last year,"NA",NA,NA,POINT(483391.539435 4669144.032715)
8254,Tiana Anderson,2018-09-12 10:24:18.481 GMT,8254,2018-09-12,Burial Mound,"946,grassland",Survey,second mound directly beside previous record. top has a flat area that could be suspicious but probably due to military during cold war,Pasture,Pasture,Lower slope,Medium,42.0413496,26.94138061,4654368.902,495148.4259,3,Northeast,1.9,15,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,,Animal activity,NA,1 - full,Animal activity,Unknown,"NA",NA,NA,POINT(495148.425879 4654368.902021)
9660,Petra Janouchova,2018-09-12 10:49:40.841 GMT,9660,2018-09-12,Uncertain Feature,"ext no 685,and stones,flat, circular",Survey,check external GPS for accurate coordinates,Annual agriculture,Scrub,Upper slope,Medium,42.17294924,26.79570263,4668999.067,483126.4665,3,North,0.5,35,0,32,take dimensions from satellite image,Other,some large stones present,No,NA,NA,0 - No observation,,Agriculture,vegetation/scrub,4 - minimal,Agriculture,Unknown,"NA",NA,NA,POINT(483126.46653 4668999.067289)
9661,Petra Janouchova,2018-09-12 11:08:03.749 GMT,9661,2018-09-12,Burial Mound,"686-689,low due to presence of vegetation,embankment shape: rectangular; 6x10m",Legacy verification,highly destroyed with almost no archaeological potential; large tank enclosure/embankment present,Forest,Forest,Hilltop,Low,42.17220823,26.79626859,4668916.681,483173.014,3,Northeast (NNE),2.5,30,1,25,check track log for accurate dimensions,NA,NA,No,NA,NA,4 - seriously damaged,specify in Annotation (tank embankment (military)),Other,military: tank enclosure,4 - minimal,Other,Unknown,"NA",NA,NA,POINT(483173.014012 4668916.680588)
8255,Tiana Anderson,2018-09-12 12:05:42.295 GMT,8255,2018-09-12,Other,"961,grassland",Survey,could be a military trench or a water resoivor sitting on a terrace over the South,Scrub,Pasture,Upper slope,Low,42.06162864,26.91787335,4656622.081,493205.0329,3,South,1.5,8,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,"military or water),specify in Annotation (military or water),probably since cold war",Other,NA,3 - impaired,Other,Other,"01,see drawing for shape, 8,5,1.5,manually excavated trench",NA,NA,POINT(493205.032861 4656622.081094)
8256,Tiana Anderson,2018-09-12 12:22:25.024 GMT,8256,2018-09-12,Other,"963,grassland,highly ambiguous",Survey,probably nothing or at best an extinct burial mound. elevation point,Pasture,Pasture,Hilltop,Low,42.06297476,26.91310554,4656771.931,492810.7072,16,North,0.5,10,NA,NA,NA,Other (elevation point),NA,No,NA,NA,0 - No observation,"ambiguous,specify in Annotation) (The whole field is one big disturbance. totally ambigious),specify in Annotation (ambigious)",Other,NA,4 - minimal,Other,Unknown,"NA",NA,NA,POINT(492810.707187 4656771.930844)
8257,Tiana Anderson,2018-09-12 12:41:17.375 GMT,8257,2018-09-12,Other,"geodetic marker,969,grassland",Survey,another elevation point. concrete has 1968 in it,Pasture,Pasture,Upper slope,Medium,42.06662059,26.90893048,4657177.087,492465.7111,6,North,0,0,NA,NA,NA,NA,NA,No,NA,NA,0 - No observation,,No observation,NA,No observation,Not available,No observation,"NA",NA,NA,POINT(492465.711055 4657177.087343)
9662,Petra Janouchova,2018-09-13 05:08:12.102 GMT,9662,2018-09-13,Other,"military tank embankment),ext no 696,not necessarily applicable for embankment",Survey,tank embankment,Scrub,Scrub,Hilltop,High,42.17994326,26.69093829,4669801.655,474476.4706,3,Southeast,2.2,20,NA,12,20x12x2.2,NA,NA,No,NA,NA,0 - No observation,"military use),specify in Annotation (military use)",Other,NA,5 - none or nearly none,Other,Unknown,"NA",NA,NA,POINT(474476.470573 4669801.655445)
9663,Petra Janouchova,2018-09-13 05:19:29.524 GMT,9663,2018-09-13,Other,"military concrete bunker under soil layer with concrete and brick arch (entrance)),ext no 697,ploughed field close by",Legacy verification,overgrown with spiky bushes modern but unused; entrances filled with soil with several small surrounding trenches,Scrub,Scrub,Hilltop,Super prominent,42.18060817,26.69113478,4669875.424,474492.9641,3,Northeast,2,16,1.5,15,2x16,NA,NA,No,NA,NA,0 - No observation,specify in Annotation),Other,military outpost; overgrown vegetation; animal burrows,4 - minimal,Other,Unknown,"NA","ext no 698, 699, 670 (ext photos: entrance, concrete slab)",files/app/2c49f7e1-d14f-4964-890d-93a3d1cf1771_image-1536816531111.original.jpg,POINT(474492.96415 4669875.424367)
9664,Petra Janouchova,2018-09-13 05:38:47.976 GMT,9664,2018-09-13,Burial Mound,"ext no 702,round, flattened by annual agriculture - likely would have been taller",Legacy verification,mound soil lighter than the surrounding field;,Annual agriculture,Annual agriculture,Hilltop,Super prominent,42.1813202,26.69065696,4669954.625,474453.7916,3,North,1.5,30,1,25,NA,Artefact scatter - Loose artefacts,2 pottery fragments - possibly LIA but worn out/damaged,No,NA,files/app/cd14639b-316f-4a94-b13a-2a3139181639_image-1536817728971.original.jpg (ext no 706),4 - seriously damaged,,Agriculture,NA,3 - impaired,Agriculture,Last year,"NA",NA,NA,POINT(474453.791559 4669954.62541)
8258,Adela Sobotkova,2018-09-13 05:52:44.450 GMT,8258,2018-09-13,Burial Mound,"978,grassland",Legacy verification,elevation point on top of low mound. number 1956 on marker,Pasture,Pasture,Upper slope,High,42.19856876,26.73641412,4671857.092,478238.4351,3,West,1.5,15,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,minor condition due to geo marker,Animal activity,NA,1 - full,Animal activity,Unknown,"NA",NA,NA,POINT(478238.435149 4671857.092161)
9665,Petra Janouchova,2018-09-13 05:58:25.230 GMT,9665,2018-09-13,Burial Mound,"ext no 707,small; circular",Survey,pile of stones on top next to poss. RT;,Annual agriculture,Scrub,Hilltop,Super prominent,42.18074467,26.69058411,4669890.744,474447.5436,3,West,1.2,22,NA,20,NA,NA,NA,No,NA,NA,3 - damaged,specify in Annotation (overgrowth; looting),Looting,vegetation overgrowth,3 - impaired,Other,Unknown,"01,rectangle,2.0,1.0,0.5,manually excavated shallow trench",ext no 708,files/app/88782de3-9cb2-44b6-87a9-09eccb47c77a_image-1536818695778.original.jpg - files/app/95ed8e72-5353-4319-9a98-0edc8f2a0b35_image-1536818672843.original.jpg,POINT(474447.543593 4669890.744317)
8519,Bara Weissova,2018-09-13 06:05:37.940 GMT,8519,2018-09-13,Burial Mound,grassland,Legacy verification,geodetic point from 1956 lying N of the mound,Pasture,Pasture,Hilltop,Super prominent,42.20506247,26.71619969,4672583.463,476571.9362,3,East,5,35,4.5,30,NA,NA,NA,No,NA,NA,3 - damaged,,Looting,military activity - tank shelter (?),4 - minimal,Looting,Unknown,"01,curved rectangle,10,4,2,manually excavated deep trench with top NW",NA,files/app/519cbed2-9c3c-4a10-894e-980462dfd95c_image-1536819062851.original.jpg - files/app/abb4f0c1-4fcb-4578-8ce7-d31700fe2cc9_image-1536819026901.original.jpg,POINT(476571.936178 4672583.4631)
9800,Elissa SinClair,2018-09-13 06:08:33.728 GMT,9800,2018-09-13,Surface Scatter,"047-057,agricultural fields, with Popovska river and associated forest forming southern boundary.,bordered by river and creek on two sides - fluvial valley",Survey,"agricultural field between Popovo and Dabovo closest to Popovo, west of the northern tributaries",Annual agriculture,Annual agriculture,Valley Bottom or Plain,Nil,42.20390308,26.74773006,4672446.552,479174.4277,3,No Observation,NA,NA,NA,NA,NA,"Artefact scatter (ottoman glazed pottery, hand-made pottery sherds, modern building rubble)",dry harrowed field (8-15cm),Yes (Popovo 1),NA,NA,0 - No observation,,Agriculture,NA,No observation,Agriculture,Unknown,NA,NA,NA,POINT(479174.427697 4672446.551972)
8259,Adela Sobotkova,2018-09-13 06:10:41.803 GMT,8259,2018-09-13,Burial Mound,"984-985,pasture with a bit of scrub,grassland",Legacy verification,cut out of South East part of mound with a small ditch off of that. flat platform where it has probably been cut off. definitely manmade,Pasture,Pasture,Hilltop,Medium,42.19716924,26.7398455,4671700.831,478521.2547,3,Northwest,1.4,15,NA,NA,NA,NA,2m X 1.5 pit on South East part,No,NA,files/app/55d09a60-2a2b-4142-aa21-9608ff2df5e4_image-1536819835462.original.jpg,2 - minor damage,"mound appears modified. top and southeast side sliced off.  military? someone cut the ground with no apparent purpose),specify in Annotation (modified by humans)",Other,NA,2 - good,Other,Unknown,"NA",NA,NA,POINT(478521.254669 4671700.830547)
9666,Petra Janouchova,2018-09-13 06:12:09.155 GMT,9666,2018-09-13,Uncertain Feature,"ext no 709,irregular rectangles",Survey,double-ditch; two large military ditches side by side,Scrub,Scrub,Hilltop,Super prominent,42.18029938,26.691235,4669841.108,474501.1167,3,North,1,16,0,8,area: 16x8x1,NA,NA,No,NA,NA,0 - No observation,specify in Annotation (military),Other,military activity,4 - minimal,Other,Unknown,"NA",NA,NA,POINT(474501.116739 4669841.108145)
8520,Bara Weissova,2018-09-13 06:35:44.506 GMT,8520,2018-09-13,Burial Mound,grassland,Legacy verification,entirely dug through by some animal,Pasture,Pasture,Hilltop,Super prominent,42.206242,26.71527562,4672714.684,476496.0903,3,Southeast,3.5,45,3,40,NA,Loose artefacts,"rim, stones, mortar",Yes,NA,files/app/58406f5e-8090-45bd-92d0-4aae064bfa74_image-1536820642123.original.jpg,3 - damaged,,Animal activity,NA,3 - impaired,Animal activity,Last week,"NA",seems some animal dug the mound through and already hit the grave based on loose artefacts in front of the hole in the North,files/app/2ec46f61-440a-4979-900a-7b2f7537ecb1_image-1536820689039.original.jpg - files/app/409ed54c-e148-46a1-995f-3dc294dfeb86_image-1536821035756.original.jpg,POINT(476496.09032 4672714.684269)
8260,Adela Sobotkova,2018-09-13 07:05:51.664 GMT,8260,2018-09-13,Surface Scatter,"988,,grassland,potential for further survey, this 30m is as far as we looked to the southwest",Survey,"light scattering of AC, daub,
, tableware and Amphora fragments in an area of 30x30m between a 20m patch of grass/scrub and the dirt road on the way to mound #3 of the day,",Annual agriculture,Pasture,Upper slope,Low,42.187331,26.74258632,4670607.778,478744.2454,3,Northwest,0,30,NA,NA,NA,Artefact scatter,NA,Yes,Late Roman ( judging by Amphora handle) a,files/app/f74785ae-ac82-410d-89e9-ac0ca72af84e_image-1536823090837.original.jpg (ext #989),3 - damaged,,Agriculture,NA,2 - good,Agriculture,Last week,"NA",NA,NA,POINT(478744.245379 4670607.777648)
8521,Bara Weissova,2018-09-13 07:13:05.566 GMT,8521,2018-09-13,Burial Mound,,Legacy verification,NA,Scrub,Annual agriculture,Valley Bottom or Plain,High,42.18879324,26.69787388,4670782.241,475052.7186,3,West,2,45,1.5,40,NA,NA,NA,No,NA,NA,3 - damaged,,Looting,agriculture around,3 - impaired,Looting,Unknown,"01,circle,3,2.5,0.5,manually excavated trench;02,elongated,3,1,0.3,manually excavated shallow trench (top to NE)",NA,files/app/6d9cc1b4-2d0d-44c9-8ceb-2ff2ede483a8_image-1536823534135.original.jpg,POINT(475052.718628 4670782.24126)
9801,Elissa SinClair,2018-09-13 07:25:03.515 GMT,9801,2018-09-13,Surface Scatter,"058 - 063,agricultural fields, with Popovska river and associated forest forming southern boundary, some shrub/forest on northern edge boundary between fields?,bordered by river and creek on three sides - fluvial valley",Survey,"agricultural field between Popovo and Dabovo central, between the two northern tributaries",Annual agriculture,Annual agriculture,Valley Bottom or Plain,Nil,42.20361366,26.76148269,4672411.151,480309.6556,3,No Observation,NA,NA,NA,NA,NA,"Artefact scatter (some ottoman pottery towards western edge, primarily antique-period wheel-made pottery, and A/C)",dry harrowed field  (8-12cm deep),Yes (Popovo 2),NA,NA,0 - No observation,,Anthropogenic,NA,No observation,Agriculture,Unknown,NA,NA,NA,POINT(480309.65562 4672411.15095)
9667,Petra Janouchova,2018-09-13 07:30:57.437 GMT,9667,2018-09-13,Surface Scatter,"ext no 717, 718",Survey,scattered pottery fragments some diagnostic pieces,Annual agriculture,Annual agriculture,Lower slope,Low,42.18412379,26.70656038,4670261.277,475768.2015,3,East,0,500,NA,300,see external GPS for accurate dimensions,Artefact scatter,"small stones, IA pottery fragments, amphora body fragment, Thracian grey ware fragment, fragments of large storage vessels, decorated pottery fragment (continuous bands of small incised pockmarks)",Yes,possibly Roman/IA,files/app/50bde695-5f52-44f9-9d1e-6611ed508706_image-1536824642796.original.jpg (ext no 716),0 - No observation,,Agriculture,NA,2 - good,Agriculture,Last year,"NA",NA,NA,POINT(475768.20145 4670261.276509)
8261,Adela Sobotkova,2018-09-13 07:32:00.306 GMT,8261,2018-09-13,Burial Mound,"993, 994,with small patch of grass and stone",Survey,very low mound with a dirt road to the west of the mound,Annual agriculture,Annual agriculture,Upper slope,Medium,42.18703736,26.74575643,4670574.389,479005.9178,3,Northwest,0.5,20,NA,NA,NA,Artefact scatter,red table ware daub and grey paste amphorae piece (storage vessel). Roman,No,NA,files/app/afae9eb8-e577-4968-897b-952d3d0329ce_image-1536824432377.original.jpg,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Unknown,"NA",NA,NA,POINT(479005.917792 4670574.389102)
8522,Bara Weissova,2018-09-13 08:01:16.760 GMT,8522,2018-09-13,Other,"taken from top,grassland",Legacy verification,geodetic point,Pasture,Pasture,Valley Bottom or Plain,Medium,42.17783673,26.67483473,4669572.705,473145.6821,3,Other,0,0,NA,NA,NA,NA,NA,No,NA,NA,0 - No observation,,No observation,NA,No observation,Not available,No observation,"NA",NA,NA,POINT(473145.682051 4669572.705498)
9668,Petra Janouchova,2018-09-13 08:14:37.633 GMT,9668,2018-09-13,Burial Mound,"ext no 720; prominence facing NE ext no 721,upper slope,circular with raised point in centre (geodetic point)",Legacy verification,"geodetic point present elevation not provided on map, scattered medium sized store",Scrub,Scrub,Hilltop,High,42.17918399,26.70365053,4669713.628,475526.0048,3,West,2.5,20,2,16,NA,NA,NA,No,NA,NA,2 - minor damage,overgrown with scrub vegetation),Other,looting - maybe,2 - good,Looting,Unknown,"01,rectangle,2.0,1.0,0.5,manually excavated shallow trench with stones",NA,files/app/13c4da7f-08e4-4eb4-bf47-702544767cd2_image-1536826720280.original.jpg (ext no 723),POINT(475526.004815 4669713.62779)
8262,Adela Sobotkova,2018-09-13 08:16:46.420 GMT,8262,2018-09-13,Other,"elevation point in field ),995-998,with slight grassland",Legacy verification,elevation point in field with 1950 carved on it,Annual agriculture,Annual agriculture,Upper slope,Medium,42.19142893,26.75882221,4671058.864,480086.1997,3,West,0,0,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,marker has been plowed out,Other,NA,5 - none or nearly none,Post-depositional,Unknown,"NA",NA,NA,POINT(480086.199729 4671058.864139)
8263,Adela Sobotkova,2018-09-13 08:30:41.793 GMT,8263,2018-09-13,Burial Mound,"999-60001,grassland",Legacy verification,mound like feature likely caused by collapsed structure with overgrown trees and scrub that have protected it from agricultural damage. a lot of field stones with artist scatter in the harrowed field to the east of site,Annual agriculture,Pasture,Lower slope,Low,42.19129107,26.75502479,4671044.45,479772.6065,3,West,1,25,NA,NA,NA,Artefact scatter,"architectural ceramics that are Roman looking bricks. coarse fabric storage ware, fine table ware. in some q cross section of a domestic assemblage. all found in the harrowed field, not in the scrub of the mound",No,NA,files/app/cfce7116-895f-441c-a76c-ee82f02b974b_image-1536827744083.original.jpg,1 - pristine,minimal damage from agriculture due to the scrub,Agriculture,growth of trees and scrub,2 - good,Agriculture,Unknown,"NA",NA,NA,POINT(479772.606481 4671044.450278)
8523,Bara Weissova,2018-09-13 08:45:36.080 GMT,8523,2018-09-13,Extinct Burial Mound,,Legacy verification,weird concrete platform and other structures,Pasture,Scrub,Upper slope,Medium,42.16217677,26.68205737,4667831.695,473735.6993,3,North,2,0,NA,NA,NA,NA,concrete,No,NA,NA,5 - extinct or near extinct,specify in Annotation (military activity),Construction,looting - maybe,5 - none or nearly none,Other,Unknown,"NA",NA,files/app/21267bfb-e718-4f4b-8975-68e6a05af103_image-1536828641577.original.jpg,POINT(473735.699341 4667831.695357)
9669,Petra Janouchova,2018-09-13 08:56:11.930 GMT,9669,2018-09-13,Burial Mound,"ext 725, 726",Legacy verification,geodetic point present; medium to large stones scattered; RTs present; Nenov-Bair,Scrub,Scrub,Hilltop,Super prominent,42.17544146,26.70220684,4669298.501,475405.3276,3,Northwest,2,25,1.5,20,NA,NA,NA,No,NA,NA,2 - minor damage,specify in Annotation (vegetative overgrowth),Construction,vegetation/scrub overgrowth,3 - impaired,Other,Unknown,"01,circle,2.0,2.0,0.3,manually excavated shallow trench overgrown with scrub and medium sized stones",NA,files/app/6e1373f3-3558-49b3-ba86-7153001cb5c3_image-1536829224779.original.jpg (ext no 724),POINT(475405.327598 4669298.500546)
8524,Bara Weissova,2018-09-13 09:12:55.740 GMT,8524,2018-09-13,Burial Mound,,Legacy verification,"wildly excavated from top, trenches all over the surface reaching 3meters, visible stratigraphy",Forest,Scrub,Upper slope,High,42.15612693,26.68164767,4667160.095,473699.35,3,North,3.5,40,NA,NA,NA,Loose artefacts,pottery,Yes,NA,NA,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Last year,"01,square,2,2.2,3,manually excavated deep trench;02,square,4,4,1.5, manually excavated trench;03,rectangle,5,8,1.3, manually excavated trench;04,circle,2(diameter),1.5, manually excavated trench (L shape, E and S dug out)",NA,files/app/476cfda0-22ad-4bef-bcf5-ddfe066475f9_image-1536830829090.original.jpg - files/app/95335c68-00ba-47f4-9930-a5336d8ef5be_image-1536830631432.original.jpg - files/app/da96d834-0e01-4a60-9097-4ab94197c516_image-1536831013008.original.jpg,POINT(473699.35003 4667160.095262)
9670,Petra Janouchova,2018-09-13 09:17:48.057 GMT,9670,2018-09-13,Burial Mound,"ext no 729,possible perennial agriculture - old ploughed lines,flatter and longer than traditional mound due to perennial agricultural land use",Legacy verification,Nanov-Bair; ext no 730 prominence facing NW towards 9662,Scrub,Scrub,Hilltop,Super prominent,42.17576037,26.6990357,4669334.829,475143.549,3,Southwest,1,25,0.7,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,specify in Annotation (scrub overgrowth),Looting,vegetation/scrub overgrowth,3 - impaired,Other,Unknown,"01,curved rectangle,na,manually excavated deep trench overgrown with vegetation and small to medium sized stones",NA,files/app/2f203521-6480-4afd-8db8-0838f864ba89_image-1536830663523.original.jpg (ext no 728),POINT(475143.548972 4669334.829221)
8264,Adela Sobotkova,2018-09-13 09:31:43.437 GMT,8264,2018-09-13,Burial Mound,"60002-60005,grassland",Legacy verification,mound with marker on top and covered with scrub. circulat trench modification in the middle of the mound that elevates the central point of the mound. in photos there is a clump of scrub that fills the circular trench,Pasture,Pasture,Lower slope,Medium,42.19235391,26.76482865,4671160.182,480582.4288,3,North,1.6,24,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,"modification,marker on top of mound)",Construction,geodetic marker,2 - good,Infrastructure,Unknown,"NA",NA,NA,POINT(480582.428768 4671160.182469)
8265,Adela Sobotkova,2018-09-13 09:54:56.636 GMT,8265,2018-09-13,Burial Mound,0006-0009,Legacy verification,"mound that has human modification that is from looting, agriculture and there is an elevation point in the trench on top of the mound and a second trench to the east side of the mound. field stones surrounding mound",Annual agriculture,Scrub,Upper slope,Medium,42.1960868,26.77001238,4671573.488,481011.5552,3,East,1.5,15,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,,Looting,agriculture,3 - impaired,Looting,Unknown,"01,rectilinear,3,1.5,0.5,manually excavated trench; 02,square,2,2,0.5,manually excavated trench (both are old and overgrown)",NA,NA,POINT(481011.555203 4671573.488385)
9671,Petra Janouchova,2018-09-13 10:09:07.087 GMT,9671,2018-09-13,Burial Mound,"close to extinction),ext 733,on the elevated part of the plain,when it was still a mound",Legacy verification,Marinova-Mogila; completely destroyed by annual agriculture; slight raise in the ground indicating its presence,Annual agriculture,Annual agriculture,Valley Bottom or Plain,High,42.16752154,26.71322013,4668416.018,476311.9586,3,West,0.3,20,0.2,NA,"flat, spread out",Loose artefacts,"non-diagnostic pottery fragments, small to medium stones scattered; one fragment with broken handle (ext no 734)",No,NA,files/app/3d363ffd-b142-49a6-a300-2e732c935da4_image-1536833885875.original.jpg,5 - extinct or near extinct,,Agriculture,NA,5 - none or nearly none,Agriculture,Last year,"NA",NA,NA,POINT(476311.958634 4668416.018432)
8266,Adela Sobotkova,2018-09-13 10:13:08.658 GMT,8266,2018-09-13,Other,"could be excavated mound or a tank emplacement),010-012",Survey,deep depression in ground filled with scrub,Pasture,Scrub,Hilltop,Low,42.19568027,26.76999594,4671528.354,481010.0759,3,East,0.7,6,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,specify in Annotation (military or excavation),Other,either military or excavation,4 - minimal,Other,Unknown,"NA",NA,NA,POINT(481010.07589 4671528.354217)
8267,Adela Sobotkova,2018-09-13 10:28:06.648 GMT,8267,2018-09-13,Burial Mound,"24-25,grassland",Legacy verification,marker on top of mound overlooking town to the north east. trench on middle of mound that creates a prominent spot for the marker to be placed,Pasture,Pasture,Hilltop,High,42.19543309,26.77537695,4671499.725,481454.2791,3,East,1,10,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,geographic marker),Other,NA,2 - good,Infrastructure,Unknown,"NA",NA,NA,POINT(481454.279097 4671499.724743)
